Zip Code,Median income (dollars)
ZCTA5 01370,61711
ZCTA5 01373,82105
ZCTA5 01375,54524
ZCTA5 01376,41369
ZCTA5 01378,68839
ZCTA5 01379,62813
ZCTA5 01420,54683
ZCTA5 01430,113045
ZCTA5 01431,97269
ZCTA5 01432,99195
ZCTA5 01434,96500
ZCTA5 01436,70662
ZCTA5 01438,100579
ZCTA5 01440,51708
ZCTA5 01450,142500
ZCTA5 01451,177422
ZCTA5 01452,100255
ZCTA5 01453,63263
ZCTA5 01460,125275
ZCTA5 01462,99601
ZCTA5 01463,105377
ZCTA5 01464,89247
ZCTA5 01468,82173
ZCTA5 01469,97730
ZCTA5 01473,98555
ZCTA5 01474,94554
ZCTA5 01475,81582
ZCTA5 01501,83265
ZCTA5 01503,104432
ZCTA5 01504,90665
ZCTA5 01505,106100
ZCTA5 01506,70610
ZCTA5 01507,102531
ZCTA5 01510,75455
ZCTA5 01515,75347
ZCTA5 01516,117250
ZCTA5 01518,72713
ZCTA5 01519,114226
ZCTA5 01520,116107
ZCTA5 01521,77054
ZCTA5 01522,104040
ZCTA5 01523,97394
ZCTA5 01524,80649
ZCTA5 01525,52750
ZCTA5 01527,92556
ZCTA5 01529,79647
ZCTA5 01531,90489
ZCTA5 01532,140600
ZCTA5 01534,100819
ZCTA5 01535,73208
ZCTA5 01536,102756
ZCTA5 01537,76859
ZCTA5 01540,85813
ZCTA5 01541,129097
ZCTA5 01542,88750
ZCTA5 01543,124890
ZCTA5 01545,108870
ZCTA5 01550,52900
ZCTA5 01560,86146
ZCTA5 01562,70265
ZCTA5 01564,122810
ZCTA5 01566,105294
ZCTA5 01568,126442
ZCTA5 01569,109179
ZCTA5 01570,59844
ZCTA5 01571,69659
ZCTA5 01581,119148
ZCTA5 01583,91696
ZCTA5 01585,63295
ZCTA5 01588,80434
ZCTA5 01590,108971
ZCTA5 01602,71239
ZCTA5 01603,45969
ZCTA5 01604,59123
ZCTA5 01605,42683
ZCTA5 01606,72050
ZCTA5 01607,53838
ZCTA5 01608,31504
ZCTA5 01609,45679
ZCTA5 01610,33326
ZCTA5 01611,100375
ZCTA5 01612,116313
ZCTA5 01701,116971
ZCTA5 01702,67048
ZCTA5 01718,142813
ZCTA5 01719,126597
ZCTA5 01720,138750
ZCTA5 01721,118348
ZCTA5 01730,133824
ZCTA5 01731,105625
ZCTA5 01740,167708
ZCTA5 01741,197530
ZCTA5 01742,160448
ZCTA5 01745,125000
ZCTA5 01746,137589
ZCTA5 01747,110582
ZCTA5 01748,172683
ZCTA5 01749,96038
ZCTA5 01752,83469
ZCTA5 01754,107891
ZCTA5 01756,126806
ZCTA5 01757,86203
ZCTA5 01760,115588
ZCTA5 01770,216406
ZCTA5 01772,163438
ZCTA5 01773,156607
ZCTA5 01775,143711
ZCTA5 01776,195073
ZCTA5 01778,192961
ZCTA5 01801,92084
ZCTA5 01803,121433
ZCTA5 01810,153315
ZCTA5 01821,116445
ZCTA5 01824,123087
ZCTA5 01826,92533
ZCTA5 01827,158523
ZCTA5 01830,62318
ZCTA5 01832,67016
ZCTA5 01833,122600
ZCTA5 01834,111056
ZCTA5 01835,84638
ZCTA5 01840,25077
ZCTA5 01841,45486
ZCTA5 01843,54283
ZCTA5 01844,83532
ZCTA5 01845,113916
ZCTA5 01850,55837
ZCTA5 01851,69548
ZCTA5 01852,65445
ZCTA5 01854,55461
ZCTA5 01860,79909
ZCTA5 01862,107964
ZCTA5 01863,112568
ZCTA5 01864,123042
ZCTA5 01867,131515
ZCTA5 01876,105480
ZCTA5 01879,114313
ZCTA5 01880,104609
ZCTA5 01886,149437
ZCTA5 01887,133873
ZCTA5 01890,173058
ZCTA5 01901,26403
ZCTA5 01902,52834
ZCTA5 01904,87639
ZCTA5 01905,62623
ZCTA5 01906,88348
ZCTA5 01907,100927
ZCTA5 01908,94243
ZCTA5 01913,81027
ZCTA5 01915,84354
ZCTA5 01921,179375
ZCTA5 01922,176250
ZCTA5 01923,99269
ZCTA5 01929,109323
ZCTA5 01930,76260
ZCTA5 01938,103941
ZCTA5 01940,136023
ZCTA5 01944,178250
ZCTA5 01945,131293
ZCTA5 01949,145525
ZCTA5 01950,110740
ZCTA5 01951,115719
ZCTA5 01952,81755
ZCTA5 01960,80679
ZCTA5 01966,87149
ZCTA5 01969,118851
ZCTA5 01970,66495
ZCTA5 01982,115203
ZCTA5 01983,144258
ZCTA5 01984,142734
ZCTA5 01985,151500
ZCTA5 02019,103258
ZCTA5 02021,107442
ZCTA5 02025,141036
ZCTA5 02026,101730
ZCTA5 02030,"250,000+"
ZCTA5 02032,158065
ZCTA5 02035,92978
ZCTA5 02038,118193
ZCTA5 02043,147520
ZCTA5 02045,105403
ZCTA5 02047,87174
ZCTA5 02048,120694
ZCTA5 02050,104209
ZCTA5 02052,174417
ZCTA5 02053,139688
ZCTA5 02054,114255
ZCTA5 02056,159914
ZCTA5 02061,162091
ZCTA5 02062,90341
ZCTA5 02066,127646
ZCTA5 02067,144280
ZCTA5 02071,114044
ZCTA5 02072,90201
ZCTA5 02081,124528
ZCTA5 02090,159776
ZCTA5 02093,136563
ZCTA5 02108,152442
ZCTA5 02109,156119
ZCTA5 02110,111971
ZCTA5 02111,52663
ZCTA5 02113,97686
ZCTA5 02114,107162
ZCTA5 02115,45827
ZCTA5 02116,115825
ZCTA5 02118,62850
ZCTA5 02119,32424
ZCTA5 02120,46843
ZCTA5 02121,36479
ZCTA5 02122,72158
ZCTA5 02124,63118
ZCTA5 02125,60862
ZCTA5 02126,55126
ZCTA5 02127,122599
ZCTA5 02128,63378
ZCTA5 02129,131064
ZCTA5 02130,102088
ZCTA5 02131,87083
ZCTA5 02132,117083
ZCTA5 02134,66095
ZCTA5 02135,83383
ZCTA5 02136,76704
ZCTA5 02138,104641
ZCTA5 02139,108832
ZCTA5 02140,114256
ZCTA5 02141,87739
ZCTA5 02142,134575
ZCTA5 02143,105193
ZCTA5 02144,111549
ZCTA5 02145,90491
ZCTA5 02148,73399
ZCTA5 02149,70627
ZCTA5 02150,60305
ZCTA5 02151,68199
ZCTA5 02152,76996
ZCTA5 02155,101266
ZCTA5 02163,57989
ZCTA5 02169,76636
ZCTA5 02170,85821
ZCTA5 02171,85586
ZCTA5 02176,114604
ZCTA5 02180,103104
ZCTA5 02184,101544
ZCTA5 02186,141050
ZCTA5 02188,93160
ZCTA5 02189,75152
ZCTA5 02190,87424
ZCTA5 02191,89234
ZCTA5 02199,106250
ZCTA5 02210,170920
ZCTA5 02215,55468
ZCTA5 02301,57977
ZCTA5 02302,70986
ZCTA5 02322,97353
