"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030043,MSPB-1,0.932432,,07/01/2020,12/31/2020
030055,MSPB-1,0.914129,,07/01/2020,12/31/2020
030061,MSPB-1,0.978214,,07/01/2020,12/31/2020
030062,MSPB-1,0.927427,,07/01/2020,12/31/2020
030064,MSPB-1,0.975835,,07/01/2020,12/31/2020
030065,MSPB-1,1.116763,,07/01/2020,12/31/2020
030068,MSPB-1,N/A,1,07/01/2020,12/31/2020
030069,MSPB-1,0.971578,,07/01/2020,12/31/2020
030071,MSPB-1,0.798549,,07/01/2020,12/31/2020
030073,MSPB-1,0.810271,,07/01/2020,12/31/2020
030077,MSPB-1,N/A,1,07/01/2020,12/31/2020
030078,MSPB-1,N/A,1,07/01/2020,12/31/2020
030083,MSPB-1,1.087790,,07/01/2020,12/31/2020
030084,MSPB-1,0.806206,,07/01/2020,12/31/2020
030085,MSPB-1,1.034709,,07/01/2020,12/31/2020
030087,MSPB-1,1.017214,,07/01/2020,12/31/2020
030088,MSPB-1,0.955027,,07/01/2020,12/31/2020
030089,MSPB-1,0.967937,,07/01/2020,12/31/2020
030092,MSPB-1,1.016955,,07/01/2020,12/31/2020
030093,MSPB-1,0.962107,,07/01/2020,12/31/2020
030094,MSPB-1,1.008455,,07/01/2020,12/31/2020
030101,MSPB-1,0.916295,,07/01/2020,12/31/2020
030103,MSPB-1,0.938706,,07/01/2020,12/31/2020
030107,MSPB-1,0.929124,,07/01/2020,12/31/2020
030108,MSPB-1,0.910994,,07/01/2020,12/31/2020
030110,MSPB-1,0.993472,,07/01/2020,12/31/2020
030111,MSPB-1,0.898116,,07/01/2020,12/31/2020
030112,MSPB-1,0.996645,,07/01/2020,12/31/2020
030113,MSPB-1,N/A,1,07/01/2020,12/31/2020
030114,MSPB-1,1.003743,,07/01/2020,12/31/2020
030115,MSPB-1,0.974803,,07/01/2020,12/31/2020
030117,MSPB-1,0.934965,,07/01/2020,12/31/2020
030119,MSPB-1,0.966473,,07/01/2020,12/31/2020
030121,MSPB-1,0.950317,,07/01/2020,12/31/2020
030122,MSPB-1,0.993304,,07/01/2020,12/31/2020
030123,MSPB-1,0.990250,,07/01/2020,12/31/2020
030130,MSPB-1,1.016807,,07/01/2020,12/31/2020
030131,MSPB-1,0.913678,,07/01/2020,12/31/2020
030134,MSPB-1,N/A,1,07/01/2020,12/31/2020
030136,MSPB-1,N/A,1,07/01/2020,12/31/2020
030137,MSPB-1,0.976805,,07/01/2020,12/31/2020
030138,MSPB-1,N/A,1,07/01/2020,12/31/2020
030139,MSPB-1,0.838857,,07/01/2020,12/31/2020
030146,MSPB-1,N/A,1,07/01/2020,12/31/2020
030147,MSPB-1,N/A,1,07/01/2020,12/31/2020
040001,MSPB-1,1.018705,,07/01/2020,12/31/2020
040002,MSPB-1,0.881809,,07/01/2020,12/31/2020
040004,MSPB-1,1.010319,,07/01/2020,12/31/2020
040007,MSPB-1,1.003252,,07/01/2020,12/31/2020
040010,MSPB-1,0.987764,,07/01/2020,12/31/2020
040011,MSPB-1,0.857301,,07/01/2020,12/31/2020
040014,MSPB-1,1.051009,,07/01/2020,12/31/2020
040015,MSPB-1,1.114773,,07/01/2020,12/31/2020
040016,MSPB-1,1.000573,,07/01/2020,12/31/2020
040017,MSPB-1,0.975234,,07/01/2020,12/31/2020
040018,MSPB-1,N/A,1,07/01/2020,12/31/2020
040019,MSPB-1,0.674581,,07/01/2020,12/31/2020
040020,MSPB-1,1.081513,,07/01/2020,12/31/2020
040022,MSPB-1,1.096491,,07/01/2020,12/31/2020
040026,MSPB-1,1.064180,,07/01/2020,12/31/2020
040027,MSPB-1,0.977607,,07/01/2020,12/31/2020
040029,MSPB-1,1.058083,,07/01/2020,12/31/2020
040036,MSPB-1,1.010375,,07/01/2020,12/31/2020
040039,MSPB-1,1.033612,,07/01/2020,12/31/2020
040041,MSPB-1,0.977196,,07/01/2020,12/31/2020
040047,MSPB-1,1.160922,,07/01/2020,12/31/2020
040050,MSPB-1,1.010776,,07/01/2020,12/31/2020
040051,MSPB-1,0.948823,,07/01/2020,12/31/2020
040055,MSPB-1,0.971583,,07/01/2020,12/31/2020
040062,MSPB-1,1.077880,,07/01/2020,12/31/2020
040067,MSPB-1,0.783895,,07/01/2020,12/31/2020
040069,MSPB-1,0.833721,,07/01/2020,12/31/2020
040071,MSPB-1,1.133298,,07/01/2020,12/31/2020
040072,MSPB-1,1.042822,,07/01/2020,12/31/2020
040076,MSPB-1,0.940546,,07/01/2020,12/31/2020
040078,MSPB-1,1.098379,,07/01/2020,12/31/2020
040084,MSPB-1,0.972326,,07/01/2020,12/31/2020
040085,MSPB-1,N/A,1,07/01/2020,12/31/2020
040088,MSPB-1,0.864523,,07/01/2020,12/31/2020
040114,MSPB-1,1.064076,,07/01/2020,12/31/2020
040118,MSPB-1,1.105797,,07/01/2020,12/31/2020
040119,MSPB-1,1.050736,,07/01/2020,12/31/2020
040134,MSPB-1,0.986520,,07/01/2020,12/31/2020
040137,MSPB-1,1.181000,,07/01/2020,12/31/2020
040147,MSPB-1,0.934786,,07/01/2020,12/31/2020
040152,MSPB-1,1.167843,,07/01/2020,12/31/2020
040153,MSPB-1,1.254141,,07/01/2020,12/31/2020
040154,MSPB-1,0.958906,,07/01/2020,12/31/2020
040156,MSPB-1,N/A,1,07/01/2020,12/31/2020
050002,MSPB-1,1.027128,,07/01/2020,12/31/2020
050006,MSPB-1,0.989796,,07/01/2020,12/31/2020
050007,MSPB-1,1.023508,,07/01/2020,12/31/2020
050008,MSPB-1,0.946407,,07/01/2020,12/31/2020
050009,MSPB-1,0.943603,,07/01/2020,12/31/2020
050014,MSPB-1,0.926691,,07/01/2020,12/31/2020
050017,MSPB-1,0.976777,,07/01/2020,12/31/2020
050022,MSPB-1,1.041414,,07/01/2020,12/31/2020
050024,MSPB-1,1.102349,,07/01/2020,12/31/2020
050025,MSPB-1,1.019528,,07/01/2020,12/31/2020
050026,MSPB-1,1.063103,,07/01/2020,12/31/2020
050028,MSPB-1,0.870985,,07/01/2020,12/31/2020
050030,MSPB-1,0.854013,,07/01/2020,12/31/2020
050036,MSPB-1,0.991649,,07/01/2020,12/31/2020
050038,MSPB-1,1.046210,,07/01/2020,12/31/2020
050039,MSPB-1,1.036173,,07/01/2020,12/31/2020
050040,MSPB-1,0.834646,,07/01/2020,12/31/2020
050042,MSPB-1,1.045313,,07/01/2020,12/31/2020
050043,MSPB-1,1.030254,,07/01/2020,12/31/2020
050045,MSPB-1,0.973809,,07/01/2020,12/31/2020
050047,MSPB-1,0.997558,,07/01/2020,12/31/2020
050054,MSPB-1,0.864143,,07/01/2020,12/31/2020
050055,MSPB-1,1.040133,,07/01/2020,12/31/2020
050056,MSPB-1,0.909766,,07/01/2020,12/31/2020
050057,MSPB-1,0.988375,,07/01/2020,12/31/2020
050058,MSPB-1,1.085289,,07/01/2020,12/31/2020
050060,MSPB-1,0.974545,,07/01/2020,12/31/2020
050063,MSPB-1,1.012862,,07/01/2020,12/31/2020
050067,MSPB-1,N/A,1,07/01/2020,12/31/2020
050069,MSPB-1,0.999273,,07/01/2020,12/31/2020
050070,MSPB-1,N/A,1,07/01/2020,12/31/2020
050071,MSPB-1,N/A,1,07/01/2020,12/31/2020
050072,MSPB-1,N/A,1,07/01/2020,12/31/2020
050073,MSPB-1,0.829513,,07/01/2020,12/31/2020
050075,MSPB-1,0.923973,,07/01/2020,12/31/2020
050076,MSPB-1,N/A,1,07/01/2020,12/31/2020
050077,MSPB-1,1.051724,,07/01/2020,12/31/2020
050078,MSPB-1,0.988308,,07/01/2020,12/31/2020
